	Fixation Duration_14_5_car-front-seat.png_face_N	Fixation Duration_14_5_car-front-seat.png_face_Mean	Fixation Duration_14_5_car-front-seat.png_face_Max	Fixation Duration_14_5_car-front-seat.png_face_Min	Fixation Duration_14_5_car-front-seat.png_face_Sum	Fixation Duration_14_5_car-front-seat.png_face_Median	Fixation Duration_14_5_car-front-seat.png_face_Stdev	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_N	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Mean	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Max	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Min	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Sum	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Median	Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Stdev	Fixation Duration_14_5_car-front-seat.png_Not on AOI_N	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Mean	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Max	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Min	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Sum	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Median	Fixation Duration_14_5_car-front-seat.png_Not on AOI_Stdev	Fixation Duration_16_1_kitchen.png_face_N	Fixation Duration_16_1_kitchen.png_face_Mean	Fixation Duration_16_1_kitchen.png_face_Max	Fixation Duration_16_1_kitchen.png_face_Min	Fixation Duration_16_1_kitchen.png_face_Sum	Fixation Duration_16_1_kitchen.png_face_Median	Fixation Duration_16_1_kitchen.png_face_Stdev	Fixation Duration_16_1_kitchen.png_Rectangle 2_N	Fixation Duration_16_1_kitchen.png_Rectangle 2_Mean	Fixation Duration_16_1_kitchen.png_Rectangle 2_Max	Fixation Duration_16_1_kitchen.png_Rectangle 2_Min	Fixation Duration_16_1_kitchen.png_Rectangle 2_Sum	Fixation Duration_16_1_kitchen.png_Rectangle 2_Median	Fixation Duration_16_1_kitchen.png_Rectangle 2_Stdev	Fixation Duration_16_1_kitchen.png_Not on AOI_N	Fixation Duration_16_1_kitchen.png_Not on AOI_Mean	Fixation Duration_16_1_kitchen.png_Not on AOI_Max	Fixation Duration_16_1_kitchen.png_Not on AOI_Min	Fixation Duration_16_1_kitchen.png_Not on AOI_Sum	Fixation Duration_16_1_kitchen.png_Not on AOI_Median	Fixation Duration_16_1_kitchen.png_Not on AOI_Stdev	Fixation Duration_20_4_floor-cleaner.png_face_N	Fixation Duration_20_4_floor-cleaner.png_face_Mean	Fixation Duration_20_4_floor-cleaner.png_face_Max	Fixation Duration_20_4_floor-cleaner.png_face_Min	Fixation Duration_20_4_floor-cleaner.png_face_Sum	Fixation Duration_20_4_floor-cleaner.png_face_Median	Fixation Duration_20_4_floor-cleaner.png_face_Stdev	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_N	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Mean	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Max	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Min	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Sum	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Median	Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Stdev	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_N	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Mean	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Max	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Min	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Sum	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Median	Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Stdev	Fixation Duration_28_7_coffee.png_face_N	Fixation Duration_28_7_coffee.png_face_Mean	Fixation Duration_28_7_coffee.png_face_Max	Fixation Duration_28_7_coffee.png_face_Min	Fixation Duration_28_7_coffee.png_face_Sum	Fixation Duration_28_7_coffee.png_face_Median	Fixation Duration_28_7_coffee.png_face_Stdev	Fixation Duration_28_7_coffee.png_Rectangle 2_N	Fixation Duration_28_7_coffee.png_Rectangle 2_Mean	Fixation Duration_28_7_coffee.png_Rectangle 2_Max	Fixation Duration_28_7_coffee.png_Rectangle 2_Min	Fixation Duration_28_7_coffee.png_Rectangle 2_Sum	Fixation Duration_28_7_coffee.png_Rectangle 2_Median	Fixation Duration_28_7_coffee.png_Rectangle 2_Stdev	Fixation Duration_28_7_coffee.png_Not on AOI_N	Fixation Duration_28_7_coffee.png_Not on AOI_Mean	Fixation Duration_28_7_coffee.png_Not on AOI_Max	Fixation Duration_28_7_coffee.png_Not on AOI_Min	Fixation Duration_28_7_coffee.png_Not on AOI_Sum	Fixation Duration_28_7_coffee.png_Not on AOI_Median	Fixation Duration_28_7_coffee.png_Not on AOI_Stdev	Fixation Duration_31_8_instrument.png_face_N	Fixation Duration_31_8_instrument.png_face_Mean	Fixation Duration_31_8_instrument.png_face_Max	Fixation Duration_31_8_instrument.png_face_Min	Fixation Duration_31_8_instrument.png_face_Sum	Fixation Duration_31_8_instrument.png_face_Median	Fixation Duration_31_8_instrument.png_face_Stdev	Fixation Duration_31_8_instrument.png_Rectangle 3_N	Fixation Duration_31_8_instrument.png_Rectangle 3_Mean	Fixation Duration_31_8_instrument.png_Rectangle 3_Max	Fixation Duration_31_8_instrument.png_Rectangle 3_Min	Fixation Duration_31_8_instrument.png_Rectangle 3_Sum	Fixation Duration_31_8_instrument.png_Rectangle 3_Median	Fixation Duration_31_8_instrument.png_Rectangle 3_Stdev	Fixation Duration_31_8_instrument.png_Not on AOI_N	Fixation Duration_31_8_instrument.png_Not on AOI_Mean	Fixation Duration_31_8_instrument.png_Not on AOI_Max	Fixation Duration_31_8_instrument.png_Not on AOI_Min	Fixation Duration_31_8_instrument.png_Not on AOI_Sum	Fixation Duration_31_8_instrument.png_Not on AOI_Median	Fixation Duration_31_8_instrument.png_Not on AOI_Stdev	Fixation Duration_35_3_house.png_face_N	Fixation Duration_35_3_house.png_face_Mean	Fixation Duration_35_3_house.png_face_Max	Fixation Duration_35_3_house.png_face_Min	Fixation Duration_35_3_house.png_face_Sum	Fixation Duration_35_3_house.png_face_Median	Fixation Duration_35_3_house.png_face_Stdev	Fixation Duration_35_3_house.png_Rectangle 2_N	Fixation Duration_35_3_house.png_Rectangle 2_Mean	Fixation Duration_35_3_house.png_Rectangle 2_Max	Fixation Duration_35_3_house.png_Rectangle 2_Min	Fixation Duration_35_3_house.png_Rectangle 2_Sum	Fixation Duration_35_3_house.png_Rectangle 2_Median	Fixation Duration_35_3_house.png_Rectangle 2_Stdev	Fixation Duration_35_3_house.png_Not on AOI_N	Fixation Duration_35_3_house.png_Not on AOI_Mean	Fixation Duration_35_3_house.png_Not on AOI_Max	Fixation Duration_35_3_house.png_Not on AOI_Min	Fixation Duration_35_3_house.png_Not on AOI_Sum	Fixation Duration_35_3_house.png_Not on AOI_Median	Fixation Duration_35_3_house.png_Not on AOI_Stdev	Fixation Duration_37_10_boat.jpg_face_N	Fixation Duration_37_10_boat.jpg_face_Mean	Fixation Duration_37_10_boat.jpg_face_Max	Fixation Duration_37_10_boat.jpg_face_Min	Fixation Duration_37_10_boat.jpg_face_Sum	Fixation Duration_37_10_boat.jpg_face_Median	Fixation Duration_37_10_boat.jpg_face_Stdev	Fixation Duration_37_10_boat.jpg_Rectangle 2_N	Fixation Duration_37_10_boat.jpg_Rectangle 2_Mean	Fixation Duration_37_10_boat.jpg_Rectangle 2_Max	Fixation Duration_37_10_boat.jpg_Rectangle 2_Min	Fixation Duration_37_10_boat.jpg_Rectangle 2_Sum	Fixation Duration_37_10_boat.jpg_Rectangle 2_Median	Fixation Duration_37_10_boat.jpg_Rectangle 2_Stdev	Fixation Duration_37_10_boat.jpg_Not on AOI_N	Fixation Duration_37_10_boat.jpg_Not on AOI_Mean	Fixation Duration_37_10_boat.jpg_Not on AOI_Max	Fixation Duration_37_10_boat.jpg_Not on AOI_Min	Fixation Duration_37_10_boat.jpg_Not on AOI_Sum	Fixation Duration_37_10_boat.jpg_Not on AOI_Median	Fixation Duration_37_10_boat.jpg_Not on AOI_Stdev	Fixation Duration_39_2_car-inside.png_face_N	Fixation Duration_39_2_car-inside.png_face_Mean	Fixation Duration_39_2_car-inside.png_face_Max	Fixation Duration_39_2_car-inside.png_face_Min	Fixation Duration_39_2_car-inside.png_face_Sum	Fixation Duration_39_2_car-inside.png_face_Median	Fixation Duration_39_2_car-inside.png_face_Stdev	Fixation Duration_39_2_car-inside.png_Rectangle 2_N	Fixation Duration_39_2_car-inside.png_Rectangle 2_Mean	Fixation Duration_39_2_car-inside.png_Rectangle 2_Max	Fixation Duration_39_2_car-inside.png_Rectangle 2_Min	Fixation Duration_39_2_car-inside.png_Rectangle 2_Sum	Fixation Duration_39_2_car-inside.png_Rectangle 2_Median	Fixation Duration_39_2_car-inside.png_Rectangle 2_Stdev	Fixation Duration_39_2_car-inside.png_Not on AOI_N	Fixation Duration_39_2_car-inside.png_Not on AOI_Mean	Fixation Duration_39_2_car-inside.png_Not on AOI_Max	Fixation Duration_39_2_car-inside.png_Not on AOI_Min	Fixation Duration_39_2_car-inside.png_Not on AOI_Sum	Fixation Duration_39_2_car-inside.png_Not on AOI_Median	Fixation Duration_39_2_car-inside.png_Not on AOI_Stdev	Fixation Duration_54_6_bag.png_face_N	Fixation Duration_54_6_bag.png_face_Mean	Fixation Duration_54_6_bag.png_face_Max	Fixation Duration_54_6_bag.png_face_Min	Fixation Duration_54_6_bag.png_face_Sum	Fixation Duration_54_6_bag.png_face_Median	Fixation Duration_54_6_bag.png_face_Stdev	Fixation Duration_54_6_bag.png_Rectangle 2_N	Fixation Duration_54_6_bag.png_Rectangle 2_Mean	Fixation Duration_54_6_bag.png_Rectangle 2_Max	Fixation Duration_54_6_bag.png_Rectangle 2_Min	Fixation Duration_54_6_bag.png_Rectangle 2_Sum	Fixation Duration_54_6_bag.png_Rectangle 2_Median	Fixation Duration_54_6_bag.png_Rectangle 2_Stdev	Fixation Duration_54_6_bag.png_Not on AOI_N	Fixation Duration_54_6_bag.png_Not on AOI_Mean	Fixation Duration_54_6_bag.png_Not on AOI_Max	Fixation Duration_54_6_bag.png_Not on AOI_Min	Fixation Duration_54_6_bag.png_Not on AOI_Sum	Fixation Duration_54_6_bag.png_Not on AOI_Median	Fixation Duration_54_6_bag.png_Not on AOI_Stdev	Fixation Duration_57_9_furniture.png_face_N	Fixation Duration_57_9_furniture.png_face_Mean	Fixation Duration_57_9_furniture.png_face_Max	Fixation Duration_57_9_furniture.png_face_Min	Fixation Duration_57_9_furniture.png_face_Sum	Fixation Duration_57_9_furniture.png_face_Median	Fixation Duration_57_9_furniture.png_face_Stdev	Fixation Duration_57_9_furniture.png_Rectangle 2_N	Fixation Duration_57_9_furniture.png_Rectangle 2_Mean	Fixation Duration_57_9_furniture.png_Rectangle 2_Max	Fixation Duration_57_9_furniture.png_Rectangle 2_Min	Fixation Duration_57_9_furniture.png_Rectangle 2_Sum	Fixation Duration_57_9_furniture.png_Rectangle 2_Median	Fixation Duration_57_9_furniture.png_Rectangle 2_Stdev	Fixation Duration_57_9_furniture.png_Rectangle 3_N	Fixation Duration_57_9_furniture.png_Rectangle 3_Mean	Fixation Duration_57_9_furniture.png_Rectangle 3_Max	Fixation Duration_57_9_furniture.png_Rectangle 3_Min	Fixation Duration_57_9_furniture.png_Rectangle 3_Sum	Fixation Duration_57_9_furniture.png_Rectangle 3_Median	Fixation Duration_57_9_furniture.png_Rectangle 3_Stdev	Fixation Duration_57_9_furniture.png_Not on AOI_N	Fixation Duration_57_9_furniture.png_Not on AOI_Mean	Fixation Duration_57_9_furniture.png_Not on AOI_Max	Fixation Duration_57_9_furniture.png_Not on AOI_Min	Fixation Duration_57_9_furniture.png_Not on AOI_Sum	Fixation Duration_57_9_furniture.png_Not on AOI_Median	Fixation Duration_57_9_furniture.png_Not on AOI_Stdev
P001	6	0,45	0,56	0,22	2,70	0,53	0,15	4	0,29	0,35	0,19	1,15	0,30	0,07	1	0,18	0,18	0,18	0,18	0,18	-	21	0,27	0,63	0,06	5,65	0,25	0,12	6	0,33	0,57	0,22	2,00	0,30	0,12	2	0,20	0,21	0,18	0,39	0,20	0,02	2	0,25	0,26	0,25	0,51	0,25	0,01	1	0,23	0,23	0,23	0,23	0,23	-	5	0,66	1,76	0,19	3,28	0,37	0,63	7	0,45	0,92	0,27	3,15	0,43	0,22	-	-	-	-	-	-	-	3	0,29	0,42	0,20	0,86	0,25	0,11	8	0,34	0,67	0,17	2,71	0,25	0,20	2	0,23	0,25	0,20	0,45	0,23	0,04	2	0,42	0,44	0,41	0,85	0,42	0,02	9	0,42	1,22	0,20	3,78	0,33	0,33	1	0,25	0,25	0,25	0,25	0,25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0,20	0,27	0,07	0,82	0,23	0,09	7	0,20	0,35	0,01	1,42	0,21	0,14	4	0,43	0,78	0,17	1,70	0,38	0,30	5	0,35	0,52	0,18	1,77	0,37	0,13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P002	9	0,32	0,63	0,19	2,88	0,28	0,13	2	0,38	0,75	0,01	0,76	0,38	0,52	-	-	-	-	-	-	-	15	0,33	1,05	0,01	4,88	0,28	0,26	1	0,07	0,07	0,07	0,07	0,07	-	2	0,02	0,04	0,01	0,05	0,02	0,02	4	0,62	1,04	0,26	2,50	0,60	0,36	-	-	-	-	-	-	-	5	0,25	0,52	0,08	1,24	0,22	0,18	9	0,38	0,90	0,13	3,43	0,28	0,24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	0,39	0,82	0,01	2,70	0,32	0,28	2	0,33	0,46	0,21	0,67	0,33	0,18	1	0,09	0,09	0,09	0,09	0,09	-	10	0,29	0,57	0,03	2,85	0,27	0,14	2	0,33	0,46	0,20	0,66	0,33	0,18	1	0,37	0,37	0,37	0,37	0,37	-	5	0,47	0,99	0,08	2,36	0,24	0,43	-	-	-	-	-	-	-	3	0,39	0,77	0,19	1,16	0,20	0,33	7	0,40	0,76	0,19	2,77	0,29	0,24	3	0,30	0,39	0,22	0,89	0,27	0,09	2	0,12	0,18	0,06	0,23	0,12	0,08	10	0,36	0,78	0,01	3,56	0,31	0,25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0,25	0,30	0,18	1,02	0,27	0,05	3	0,39	0,72	0,18	1,17	0,27	0,29	3	0,23	0,26	0,17	0,68	0,24	0,05	3	0,26	0,44	0,17	0,79	0,17	0,15
P003	2	0,60	0,82	0,39	1,21	0,60	0,30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	0,31	0,65	0,01	2,80	0,29	0,18	3	0,06	0,16	0,01	0,17	0,01	0,09	-	-	-	-	-	-	-	3	0,66	1,22	0,32	1,98	0,44	0,49	1	0,06	0,06	0,06	0,06	0,06	-	5	0,09	0,18	0,01	0,45	0,11	0,08	5	0,67	1,19	0,39	3,37	0,62	0,31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	0,21	0,31	0,09	0,62	0,22	0,11	1	0,01	0,01	0,01	0,01	0,01	-	2	0,04	0,07	0,01	0,07	0,04	0,04	5	0,55	1,12	0,01	2,75	0,60	0,40	1	0,31	0,31	0,31	0,31	0,31	-	-	-	-	-	-	-	-	2	0,35	0,37	0,33	0,69	0,35	0,03	9	0,27	0,63	0,01	2,46	0,21	0,20	2	0,15	0,29	0,01	0,30	0,15	0,20	5	0,18	0,39	0,01	0,90	0,16	0,17	2	0,23	0,28	0,18	0,47	0,23	0,07	1	0,65	0,65	0,65	0,65	0,65	-	7	0,34	0,76	0,01	2,41	0,31	0,23	1	1,14	1,14	1,14	1,14	1,14	-	-	-	-	-	-	-	-	8	0,39	0,53	0,27	3,14	0,38	0,09	1	0,35	0,35	0,35	0,35	0,35	-	1	0,01	0,01	0,01	0,01	0,01	-	-	-	-	-	-	-	-
P004	10	0,37	0,62	0,17	3,66	0,32	0,14	-	-	-	-	-	-	-	1	0,14	0,14	0,14	0,14	0,14	-	9	0,33	1,77	0,01	2,95	0,13	0,54	8	0,07	0,18	0,01	0,60	0,02	0,09	1	0,40	0,40	0,40	0,40	0,40	-	2	0,16	0,23	0,09	0,33	0,16	0,10	11	0,08	0,21	0,01	0,92	0,08	0,08	1	0,01	0,01	0,01	0,01	0,01	-	12	0,20	0,38	0,01	2,46	0,23	0,11	-	-	-	-	-	-	-	1	0,13	0,13	0,13	0,13	0,13	-	5	0,09	0,17	0,01	0,46	0,08	0,08	5	0,14	0,43	0,02	0,68	0,07	0,17	2	0,11	0,14	0,09	0,23	0,11	0,03	9	0,32	0,76	0,00	2,86	0,21	0,28	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	3	0,24	0,46	0,08	0,73	0,20	0,19	8	0,23	0,47	0,06	1,85	0,22	0,12	5	0,19	0,44	0,07	0,97	0,17	0,14	1	0,22	0,22	0,22	0,22	0,22	-	11	0,19	0,49	0,01	2,04	0,13	0,15	-	-	-	-	-	-	-	10	0,17	0,33	0,03	1,68	0,17	0,10	1	0,22	0,22	0,22	0,22	0,22	-	3	0,14	0,23	0,01	0,41	0,17	0,12	7	0,17	0,40	0,01	1,17	0,14	0,13	1	0,01	0,01	0,01	0,01	0,01	-	3	0,19	0,25	0,13	0,57	0,18	0,06	2	0,18	0,21	0,15	0,36	0,18	0,04
P005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0,01	0,01	0,01	0,02	0,01	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0,39	0,64	0,11	1,57	0,41	0,27	-	-	-	-	-	-	-	1	0,73	0,73	0,73	0,73	0,73	-	5	0,05	0,18	0,01	0,23	0,01	0,08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0,17	0,48	0,01	0,67	0,09	0,22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	0,28	1,02	0,01	1,39	0,07	0,43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	0,01	0,01	0,01	0,02	0,01	0,00	3	0,32	0,44	0,08	0,96	0,43	0,20	2	0,43	0,69	0,17	0,87	0,43	0,37	-	-	-	-	-	-	-	1	0,01	0,01	0,01	0,01	0,01	-	-	-	-	-	-	-	-	1	0,01	0,01	0,01	0,01	0,01	-	3	0,01	0,01	0,01	0,03	0,01	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P006	4	0,05	0,11	0,01	0,22	0,05	0,04	2	0,03	0,05	0,01	0,06	0,03	0,03	4	0,08	0,13	0,02	0,32	0,08	0,06	6	0,12	0,21	0,07	0,71	0,10	0,05	2	0,07	0,12	0,03	0,14	0,07	0,06	3	0,02	0,05	0,01	0,07	0,01	0,02	7	0,26	0,40	0,11	1,85	0,27	0,11	2	0,20	0,39	0,02	0,41	0,20	0,27	4	0,23	0,49	0,01	0,91	0,20	0,20	3	0,22	0,34	0,04	0,67	0,28	0,16	-	-	-	-	-	-	-	7	0,17	0,41	0,02	1,19	0,12	0,14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,01	0,01	0,01	0,01	0,01	-	2	0,01	0,01	0,01	0,02	0,01	0,00	-	-	-	-	-	-	-	2	0,02	0,03	0,01	0,03	0,02	0,01	-	-	-	-	-	-	-	3	0,15	0,28	0,01	0,44	0,15	0,14	-	-	-	-	-	-	-	1	0,36	0,36	0,36	0,36	0,36	-	3	0,04	0,10	0,01	0,13	0,02	0,05	1	0,02	0,02	0,02	0,02	0,02	-	-	-	-	-	-	-	-	1	0,04	0,04	0,04	0,04	0,04	-	-	-	-	-	-	-	-	1	0,02	0,02	0,02	0,02	0,02	-	3	0,29	0,39	0,18	0,87	0,30	0,10	2	0,30	0,33	0,26	0,59	0,30	0,05	1	0,15	0,15	0,15	0,15	0,15	-
P007	4	0,79	1,77	0,12	3,16	0,64	0,69	-	-	-	-	-	-	-	3	0,29	0,38	0,16	0,86	0,32	0,12	1	0,52	0,52	0,52	0,52	0,52	-	13	0,39	0,88	0,19	5,04	0,39	0,19	9	0,24	0,47	0,06	2,12	0,22	0,13	8	0,34	0,67	0,07	2,68	0,27	0,21	1	0,53	0,53	0,53	0,53	0,53	-	2	0,34	0,52	0,16	0,68	0,34	0,25	10	0,30	0,56	0,05	3,03	0,30	0,17	-	-	-	-	-	-	-	3	0,28	0,35	0,17	0,83	0,31	0,09	-	-	-	-	-	-	-	3	0,25	0,34	0,19	0,76	0,22	0,08	11	0,28	0,90	0,04	3,11	0,25	0,23	6	0,27	0,37	0,17	1,62	0,28	0,08	1	1,25	1,25	1,25	1,25	1,25	-	4	0,21	0,38	0,01	0,84	0,22	0,19	2	0,45	0,46	0,45	0,91	0,45	0,01	8	0,28	0,54	0,05	2,21	0,29	0,15	4	0,19	0,29	0,09	0,74	0,18	0,08	4	0,33	0,62	0,15	1,31	0,27	0,20	3	0,47	0,91	0,20	1,40	0,29	0,38	4	0,28	0,37	0,17	1,14	0,30	0,10	4	0,52	1,34	0,21	2,09	0,27	0,55	4	0,48	0,76	0,17	1,92	0,50	0,31	-	-	-	-	-	-	-	3	0,22	0,42	0,07	0,67	0,19	0,18	2	0,18	0,30	0,07	0,37	0,18	0,16	-	-	-	-	-	-	-	5	0,57	1,22	0,13	2,83	0,42	0,44
P008	3	0,23	0,67	0,01	0,70	0,02	0,38	2	0,57	0,63	0,50	1,13	0,57	0,09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,22	0,22	0,22	0,22	0,22	-	2	0,05	0,09	0,02	0,11	0,05	0,05	-	-	-	-	-	-	-	5	0,33	0,59	0,01	1,67	0,29	0,24	2	0,48	0,92	0,04	0,97	0,48	0,62	-	-	-	-	-	-	-	2	0,13	0,15	0,11	0,26	0,13	0,03	1	0,07	0,07	0,07	0,07	0,07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0,24	0,39	0,10	0,94	0,22	0,13	1	0,37	0,37	0,37	0,37	0,37	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,10	0,10	0,10	0,10	0,10	-
P009	6	0,25	0,68	0,01	1,50	0,20	0,24	-	-	-	-	-	-	-	1	0,29	0,29	0,29	0,29	0,29	-	13	0,36	1,17	0,02	4,73	0,30	0,30	4	0,39	0,77	0,20	1,57	0,30	0,26	3	0,29	0,37	0,23	0,88	0,27	0,07	5	0,60	1,57	0,06	2,99	0,36	0,62	2	0,28	0,29	0,27	0,56	0,28	0,02	2	0,23	0,24	0,23	0,47	0,23	0,01	9	0,40	0,67	0,15	3,59	0,35	0,19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0,37	0,46	0,29	0,75	0,37	0,12	3	0,28	0,45	0,13	0,85	0,27	0,16	5	0,24	0,43	0,08	1,19	0,17	0,16	5	0,25	0,47	0,03	1,27	0,26	0,16	5	0,31	0,49	0,20	1,55	0,27	0,11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	0,25	0,42	0,09	2,29	0,23	0,11	3	0,32	0,66	0,05	0,97	0,26	0,31	4	0,67	1,21	0,21	2,67	0,62	0,48	1	0,27	0,27	0,27	0,27	0,27	-	-	-	-	-	-	-	-	7	0,51	1,17	0,20	3,60	0,38	0,34	-	-	-	-	-	-	-	1	0,18	0,18	0,18	0,18	0,18	-	2	0,52	0,67	0,37	1,05	0,52	0,21	2	0,20	0,22	0,17	0,40	0,20	0,04	6	0,25	0,44	0,12	1,48	0,24	0,11	2	0,45	0,58	0,32	0,90	0,45	0,19
P010	6	0,22	0,37	0,09	1,31	0,20	0,11	2	0,10	0,19	0,01	0,20	0,10	0,13	2	0,15	0,22	0,07	0,29	0,15	0,11	17	0,16	0,41	0,01	2,70	0,15	0,12	5	0,33	0,77	0,09	1,65	0,24	0,26	3	0,30	0,43	0,03	0,90	0,43	0,23	1	0,59	0,59	0,59	0,59	0,59	-	4	0,19	0,34	0,07	0,74	0,16	0,11	6	0,32	1,31	0,01	1,92	0,12	0,50	8	0,21	0,37	0,04	1,66	0,22	0,10	1	0,22	0,22	0,22	0,22	0,22	-	1	0,39	0,39	0,39	0,39	0,39	-	5	0,39	0,51	0,29	1,94	0,38	0,09	5	0,24	0,44	0,05	1,21	0,30	0,16	2	0,28	0,34	0,22	0,56	0,28	0,09	6	0,46	1,67	0,15	2,75	0,22	0,60	3	0,32	0,47	0,10	0,95	0,37	0,19	1	0,05	0,05	0,05	0,05	0,05	-	3	0,36	0,51	0,17	1,08	0,41	0,18	8	0,28	0,49	0,04	2,27	0,24	0,18	1	0,21	0,21	0,21	0,21	0,21	-	5	0,35	0,57	0,22	1,73	0,29	0,14	6	0,34	0,79	0,18	2,03	0,21	0,24	2	0,13	0,23	0,03	0,26	0,13	0,15	5	0,54	1,37	0,23	2,70	0,30	0,48	3	0,37	0,56	0,23	1,12	0,32	0,17	1	0,17	0,17	0,17	0,17	0,17	-	8	0,19	0,32	0,06	1,54	0,21	0,08	-	-	-	-	-	-	-	5	0,18	0,34	0,06	0,88	0,17	0,11	2	0,23	0,26	0,21	0,47	0,23	0,04
