	Fixations Before_14_5_car-front-seat.png_face_N	Fixations Before_14_5_car-front-seat.png_face_Mean	Fixations Before_14_5_car-front-seat.png_face_Max	Fixations Before_14_5_car-front-seat.png_face_Min	Fixations Before_14_5_car-front-seat.png_face_Sum	Fixations Before_14_5_car-front-seat.png_face_Median	Fixations Before_14_5_car-front-seat.png_face_Stdev	Fixations Before_14_5_car-front-seat.png_Rectangle 2_N	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Mean	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Max	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Min	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Sum	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Median	Fixations Before_14_5_car-front-seat.png_Rectangle 2_Stdev	Fixations Before_14_5_car-front-seat.png_Not on AOI_N	Fixations Before_14_5_car-front-seat.png_Not on AOI_Mean	Fixations Before_14_5_car-front-seat.png_Not on AOI_Max	Fixations Before_14_5_car-front-seat.png_Not on AOI_Min	Fixations Before_14_5_car-front-seat.png_Not on AOI_Sum	Fixations Before_14_5_car-front-seat.png_Not on AOI_Median	Fixations Before_14_5_car-front-seat.png_Not on AOI_Stdev	Fixations Before_16_1_kitchen.png_face_N	Fixations Before_16_1_kitchen.png_face_Mean	Fixations Before_16_1_kitchen.png_face_Max	Fixations Before_16_1_kitchen.png_face_Min	Fixations Before_16_1_kitchen.png_face_Sum	Fixations Before_16_1_kitchen.png_face_Median	Fixations Before_16_1_kitchen.png_face_Stdev	Fixations Before_16_1_kitchen.png_Rectangle 2_N	Fixations Before_16_1_kitchen.png_Rectangle 2_Mean	Fixations Before_16_1_kitchen.png_Rectangle 2_Max	Fixations Before_16_1_kitchen.png_Rectangle 2_Min	Fixations Before_16_1_kitchen.png_Rectangle 2_Sum	Fixations Before_16_1_kitchen.png_Rectangle 2_Median	Fixations Before_16_1_kitchen.png_Rectangle 2_Stdev	Fixations Before_16_1_kitchen.png_Not on AOI_N	Fixations Before_16_1_kitchen.png_Not on AOI_Mean	Fixations Before_16_1_kitchen.png_Not on AOI_Max	Fixations Before_16_1_kitchen.png_Not on AOI_Min	Fixations Before_16_1_kitchen.png_Not on AOI_Sum	Fixations Before_16_1_kitchen.png_Not on AOI_Median	Fixations Before_16_1_kitchen.png_Not on AOI_Stdev	Fixations Before_20_4_floor-cleaner.png_face_N	Fixations Before_20_4_floor-cleaner.png_face_Mean	Fixations Before_20_4_floor-cleaner.png_face_Max	Fixations Before_20_4_floor-cleaner.png_face_Min	Fixations Before_20_4_floor-cleaner.png_face_Sum	Fixations Before_20_4_floor-cleaner.png_face_Median	Fixations Before_20_4_floor-cleaner.png_face_Stdev	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_N	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Mean	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Max	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Min	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Sum	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Median	Fixations Before_20_4_floor-cleaner.png_Rectangle 2_Stdev	Fixations Before_20_4_floor-cleaner.png_Not on AOI_N	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Mean	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Max	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Min	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Sum	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Median	Fixations Before_20_4_floor-cleaner.png_Not on AOI_Stdev	Fixations Before_28_7_coffee.png_face_N	Fixations Before_28_7_coffee.png_face_Mean	Fixations Before_28_7_coffee.png_face_Max	Fixations Before_28_7_coffee.png_face_Min	Fixations Before_28_7_coffee.png_face_Sum	Fixations Before_28_7_coffee.png_face_Median	Fixations Before_28_7_coffee.png_face_Stdev	Fixations Before_28_7_coffee.png_Rectangle 2_N	Fixations Before_28_7_coffee.png_Rectangle 2_Mean	Fixations Before_28_7_coffee.png_Rectangle 2_Max	Fixations Before_28_7_coffee.png_Rectangle 2_Min	Fixations Before_28_7_coffee.png_Rectangle 2_Sum	Fixations Before_28_7_coffee.png_Rectangle 2_Median	Fixations Before_28_7_coffee.png_Rectangle 2_Stdev	Fixations Before_28_7_coffee.png_Not on AOI_N	Fixations Before_28_7_coffee.png_Not on AOI_Mean	Fixations Before_28_7_coffee.png_Not on AOI_Max	Fixations Before_28_7_coffee.png_Not on AOI_Min	Fixations Before_28_7_coffee.png_Not on AOI_Sum	Fixations Before_28_7_coffee.png_Not on AOI_Median	Fixations Before_28_7_coffee.png_Not on AOI_Stdev	Fixations Before_31_8_instrument.png_face_N	Fixations Before_31_8_instrument.png_face_Mean	Fixations Before_31_8_instrument.png_face_Max	Fixations Before_31_8_instrument.png_face_Min	Fixations Before_31_8_instrument.png_face_Sum	Fixations Before_31_8_instrument.png_face_Median	Fixations Before_31_8_instrument.png_face_Stdev	Fixations Before_31_8_instrument.png_Rectangle 3_N	Fixations Before_31_8_instrument.png_Rectangle 3_Mean	Fixations Before_31_8_instrument.png_Rectangle 3_Max	Fixations Before_31_8_instrument.png_Rectangle 3_Min	Fixations Before_31_8_instrument.png_Rectangle 3_Sum	Fixations Before_31_8_instrument.png_Rectangle 3_Median	Fixations Before_31_8_instrument.png_Rectangle 3_Stdev	Fixations Before_31_8_instrument.png_Not on AOI_N	Fixations Before_31_8_instrument.png_Not on AOI_Mean	Fixations Before_31_8_instrument.png_Not on AOI_Max	Fixations Before_31_8_instrument.png_Not on AOI_Min	Fixations Before_31_8_instrument.png_Not on AOI_Sum	Fixations Before_31_8_instrument.png_Not on AOI_Median	Fixations Before_31_8_instrument.png_Not on AOI_Stdev	Fixations Before_35_3_house.png_face_N	Fixations Before_35_3_house.png_face_Mean	Fixations Before_35_3_house.png_face_Max	Fixations Before_35_3_house.png_face_Min	Fixations Before_35_3_house.png_face_Sum	Fixations Before_35_3_house.png_face_Median	Fixations Before_35_3_house.png_face_Stdev	Fixations Before_35_3_house.png_Rectangle 2_N	Fixations Before_35_3_house.png_Rectangle 2_Mean	Fixations Before_35_3_house.png_Rectangle 2_Max	Fixations Before_35_3_house.png_Rectangle 2_Min	Fixations Before_35_3_house.png_Rectangle 2_Sum	Fixations Before_35_3_house.png_Rectangle 2_Median	Fixations Before_35_3_house.png_Rectangle 2_Stdev	Fixations Before_35_3_house.png_Not on AOI_N	Fixations Before_35_3_house.png_Not on AOI_Mean	Fixations Before_35_3_house.png_Not on AOI_Max	Fixations Before_35_3_house.png_Not on AOI_Min	Fixations Before_35_3_house.png_Not on AOI_Sum	Fixations Before_35_3_house.png_Not on AOI_Median	Fixations Before_35_3_house.png_Not on AOI_Stdev	Fixations Before_37_10_boat.jpg_face_N	Fixations Before_37_10_boat.jpg_face_Mean	Fixations Before_37_10_boat.jpg_face_Max	Fixations Before_37_10_boat.jpg_face_Min	Fixations Before_37_10_boat.jpg_face_Sum	Fixations Before_37_10_boat.jpg_face_Median	Fixations Before_37_10_boat.jpg_face_Stdev	Fixations Before_37_10_boat.jpg_Rectangle 2_N	Fixations Before_37_10_boat.jpg_Rectangle 2_Mean	Fixations Before_37_10_boat.jpg_Rectangle 2_Max	Fixations Before_37_10_boat.jpg_Rectangle 2_Min	Fixations Before_37_10_boat.jpg_Rectangle 2_Sum	Fixations Before_37_10_boat.jpg_Rectangle 2_Median	Fixations Before_37_10_boat.jpg_Rectangle 2_Stdev	Fixations Before_37_10_boat.jpg_Not on AOI_N	Fixations Before_37_10_boat.jpg_Not on AOI_Mean	Fixations Before_37_10_boat.jpg_Not on AOI_Max	Fixations Before_37_10_boat.jpg_Not on AOI_Min	Fixations Before_37_10_boat.jpg_Not on AOI_Sum	Fixations Before_37_10_boat.jpg_Not on AOI_Median	Fixations Before_37_10_boat.jpg_Not on AOI_Stdev	Fixations Before_39_2_car-inside.png_face_N	Fixations Before_39_2_car-inside.png_face_Mean	Fixations Before_39_2_car-inside.png_face_Max	Fixations Before_39_2_car-inside.png_face_Min	Fixations Before_39_2_car-inside.png_face_Sum	Fixations Before_39_2_car-inside.png_face_Median	Fixations Before_39_2_car-inside.png_face_Stdev	Fixations Before_39_2_car-inside.png_Rectangle 2_N	Fixations Before_39_2_car-inside.png_Rectangle 2_Mean	Fixations Before_39_2_car-inside.png_Rectangle 2_Max	Fixations Before_39_2_car-inside.png_Rectangle 2_Min	Fixations Before_39_2_car-inside.png_Rectangle 2_Sum	Fixations Before_39_2_car-inside.png_Rectangle 2_Median	Fixations Before_39_2_car-inside.png_Rectangle 2_Stdev	Fixations Before_39_2_car-inside.png_Not on AOI_N	Fixations Before_39_2_car-inside.png_Not on AOI_Mean	Fixations Before_39_2_car-inside.png_Not on AOI_Max	Fixations Before_39_2_car-inside.png_Not on AOI_Min	Fixations Before_39_2_car-inside.png_Not on AOI_Sum	Fixations Before_39_2_car-inside.png_Not on AOI_Median	Fixations Before_39_2_car-inside.png_Not on AOI_Stdev	Fixations Before_54_6_bag.png_face_N	Fixations Before_54_6_bag.png_face_Mean	Fixations Before_54_6_bag.png_face_Max	Fixations Before_54_6_bag.png_face_Min	Fixations Before_54_6_bag.png_face_Sum	Fixations Before_54_6_bag.png_face_Median	Fixations Before_54_6_bag.png_face_Stdev	Fixations Before_54_6_bag.png_Rectangle 2_N	Fixations Before_54_6_bag.png_Rectangle 2_Mean	Fixations Before_54_6_bag.png_Rectangle 2_Max	Fixations Before_54_6_bag.png_Rectangle 2_Min	Fixations Before_54_6_bag.png_Rectangle 2_Sum	Fixations Before_54_6_bag.png_Rectangle 2_Median	Fixations Before_54_6_bag.png_Rectangle 2_Stdev	Fixations Before_54_6_bag.png_Not on AOI_N	Fixations Before_54_6_bag.png_Not on AOI_Mean	Fixations Before_54_6_bag.png_Not on AOI_Max	Fixations Before_54_6_bag.png_Not on AOI_Min	Fixations Before_54_6_bag.png_Not on AOI_Sum	Fixations Before_54_6_bag.png_Not on AOI_Median	Fixations Before_54_6_bag.png_Not on AOI_Stdev	Fixations Before_57_9_furniture.png_face_N	Fixations Before_57_9_furniture.png_face_Mean	Fixations Before_57_9_furniture.png_face_Max	Fixations Before_57_9_furniture.png_face_Min	Fixations Before_57_9_furniture.png_face_Sum	Fixations Before_57_9_furniture.png_face_Median	Fixations Before_57_9_furniture.png_face_Stdev	Fixations Before_57_9_furniture.png_Rectangle 2_N	Fixations Before_57_9_furniture.png_Rectangle 2_Mean	Fixations Before_57_9_furniture.png_Rectangle 2_Max	Fixations Before_57_9_furniture.png_Rectangle 2_Min	Fixations Before_57_9_furniture.png_Rectangle 2_Sum	Fixations Before_57_9_furniture.png_Rectangle 2_Median	Fixations Before_57_9_furniture.png_Rectangle 2_Stdev	Fixations Before_57_9_furniture.png_Rectangle 3_N	Fixations Before_57_9_furniture.png_Rectangle 3_Mean	Fixations Before_57_9_furniture.png_Rectangle 3_Max	Fixations Before_57_9_furniture.png_Rectangle 3_Min	Fixations Before_57_9_furniture.png_Rectangle 3_Sum	Fixations Before_57_9_furniture.png_Rectangle 3_Median	Fixations Before_57_9_furniture.png_Rectangle 3_Stdev	Fixations Before_57_9_furniture.png_Not on AOI_N	Fixations Before_57_9_furniture.png_Not on AOI_Mean	Fixations Before_57_9_furniture.png_Not on AOI_Max	Fixations Before_57_9_furniture.png_Not on AOI_Min	Fixations Before_57_9_furniture.png_Not on AOI_Sum	Fixations Before_57_9_furniture.png_Not on AOI_Median	Fixations Before_57_9_furniture.png_Not on AOI_Stdev
P001	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P002	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	7,00	7,00	7,00	7,00	7,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	3,00	3,00	3,00	3,00	3,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	9,00	9,00	9,00	9,00	9,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P003	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	6,00	6,00	6,00	6,00	6,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	-	-	-	-	-	-	-	1	10,00	10,00	10,00	10,00	10,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	6,00	6,00	6,00	6,00	6,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-
P004	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	12,00	12,00	12,00	12,00	12,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	12,00	12,00	12,00	12,00	12,00	-	1	7,00	7,00	7,00	7,00	7,00	-	1	0,00	0,00	0,00	0,00	0,00	-
P005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P006	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	3,00	3,00	3,00	3,00	3,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	6,00	6,00	6,00	6,00	6,00	-
P007	1	2,00	2,00	2,00	2,00	2,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	9,00	9,00	9,00	9,00	9,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	8,00	8,00	8,00	8,00	8,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-
P008	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,00	2,00	2,00	2,00	2,00	-	1	6,00	6,00	6,00	6,00	6,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-
P009	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	6,00	6,00	6,00	6,00	6,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	1,00	1,00	1,00	1,00	1,00	-	-	-	-	-	-	-	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	10,00	10,00	10,00	10,00	10,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P010	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	6,00	6,00	6,00	6,00	6,00	-	1	3,00	3,00	3,00	3,00	3,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	9,00	9,00	9,00	9,00	9,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	10,00	10,00	10,00	10,00	10,00	-	1	4,00	4,00	4,00	4,00	4,00	-	1	2,00	2,00	2,00	2,00	2,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-	1	5,00	5,00	5,00	5,00	5,00	-	1	0,00	0,00	0,00	0,00	0,00	-	1	0,00	0,00	0,00	0,00	0,00	-	-	-	-	-	-	-	-	1	7,00	7,00	7,00	7,00	7,00	-	1	1,00	1,00	1,00	1,00	1,00	-
