	Percentage Fixated_14_5_car-front-seat.png_face_N	Percentage Fixated_14_5_car-front-seat.png_face_Mean	Percentage Fixated_14_5_car-front-seat.png_face_Max	Percentage Fixated_14_5_car-front-seat.png_face_Min	Percentage Fixated_14_5_car-front-seat.png_face_Sum	Percentage Fixated_14_5_car-front-seat.png_face_Median	Percentage Fixated_14_5_car-front-seat.png_face_Stdev	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_N	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Mean	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Max	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Min	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Sum	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Median	Percentage Fixated_14_5_car-front-seat.png_Rectangle 2_Stdev	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_N	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Mean	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Max	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Min	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Sum	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Median	Percentage Fixated_14_5_car-front-seat.png_Not on AOI_Stdev	Percentage Fixated_16_1_kitchen.png_face_N	Percentage Fixated_16_1_kitchen.png_face_Mean	Percentage Fixated_16_1_kitchen.png_face_Max	Percentage Fixated_16_1_kitchen.png_face_Min	Percentage Fixated_16_1_kitchen.png_face_Sum	Percentage Fixated_16_1_kitchen.png_face_Median	Percentage Fixated_16_1_kitchen.png_face_Stdev	Percentage Fixated_16_1_kitchen.png_Rectangle 2_N	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Mean	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Max	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Min	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Sum	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Median	Percentage Fixated_16_1_kitchen.png_Rectangle 2_Stdev	Percentage Fixated_16_1_kitchen.png_Not on AOI_N	Percentage Fixated_16_1_kitchen.png_Not on AOI_Mean	Percentage Fixated_16_1_kitchen.png_Not on AOI_Max	Percentage Fixated_16_1_kitchen.png_Not on AOI_Min	Percentage Fixated_16_1_kitchen.png_Not on AOI_Sum	Percentage Fixated_16_1_kitchen.png_Not on AOI_Median	Percentage Fixated_16_1_kitchen.png_Not on AOI_Stdev	Percentage Fixated_20_4_floor-cleaner.png_face_N	Percentage Fixated_20_4_floor-cleaner.png_face_Mean	Percentage Fixated_20_4_floor-cleaner.png_face_Max	Percentage Fixated_20_4_floor-cleaner.png_face_Min	Percentage Fixated_20_4_floor-cleaner.png_face_Sum	Percentage Fixated_20_4_floor-cleaner.png_face_Median	Percentage Fixated_20_4_floor-cleaner.png_face_Stdev	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_N	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Mean	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Max	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Min	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Sum	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Median	Percentage Fixated_20_4_floor-cleaner.png_Rectangle 2_Stdev	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_N	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Mean	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Max	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Min	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Sum	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Median	Percentage Fixated_20_4_floor-cleaner.png_Not on AOI_Stdev	Percentage Fixated_28_7_coffee.png_face_N	Percentage Fixated_28_7_coffee.png_face_Mean	Percentage Fixated_28_7_coffee.png_face_Max	Percentage Fixated_28_7_coffee.png_face_Min	Percentage Fixated_28_7_coffee.png_face_Sum	Percentage Fixated_28_7_coffee.png_face_Median	Percentage Fixated_28_7_coffee.png_face_Stdev	Percentage Fixated_28_7_coffee.png_Rectangle 2_N	Percentage Fixated_28_7_coffee.png_Rectangle 2_Mean	Percentage Fixated_28_7_coffee.png_Rectangle 2_Max	Percentage Fixated_28_7_coffee.png_Rectangle 2_Min	Percentage Fixated_28_7_coffee.png_Rectangle 2_Sum	Percentage Fixated_28_7_coffee.png_Rectangle 2_Median	Percentage Fixated_28_7_coffee.png_Rectangle 2_Stdev	Percentage Fixated_28_7_coffee.png_Not on AOI_N	Percentage Fixated_28_7_coffee.png_Not on AOI_Mean	Percentage Fixated_28_7_coffee.png_Not on AOI_Max	Percentage Fixated_28_7_coffee.png_Not on AOI_Min	Percentage Fixated_28_7_coffee.png_Not on AOI_Sum	Percentage Fixated_28_7_coffee.png_Not on AOI_Median	Percentage Fixated_28_7_coffee.png_Not on AOI_Stdev	Percentage Fixated_31_8_instrument.png_face_N	Percentage Fixated_31_8_instrument.png_face_Mean	Percentage Fixated_31_8_instrument.png_face_Max	Percentage Fixated_31_8_instrument.png_face_Min	Percentage Fixated_31_8_instrument.png_face_Sum	Percentage Fixated_31_8_instrument.png_face_Median	Percentage Fixated_31_8_instrument.png_face_Stdev	Percentage Fixated_31_8_instrument.png_Rectangle 3_N	Percentage Fixated_31_8_instrument.png_Rectangle 3_Mean	Percentage Fixated_31_8_instrument.png_Rectangle 3_Max	Percentage Fixated_31_8_instrument.png_Rectangle 3_Min	Percentage Fixated_31_8_instrument.png_Rectangle 3_Sum	Percentage Fixated_31_8_instrument.png_Rectangle 3_Median	Percentage Fixated_31_8_instrument.png_Rectangle 3_Stdev	Percentage Fixated_31_8_instrument.png_Not on AOI_N	Percentage Fixated_31_8_instrument.png_Not on AOI_Mean	Percentage Fixated_31_8_instrument.png_Not on AOI_Max	Percentage Fixated_31_8_instrument.png_Not on AOI_Min	Percentage Fixated_31_8_instrument.png_Not on AOI_Sum	Percentage Fixated_31_8_instrument.png_Not on AOI_Median	Percentage Fixated_31_8_instrument.png_Not on AOI_Stdev	Percentage Fixated_35_3_house.png_face_N	Percentage Fixated_35_3_house.png_face_Mean	Percentage Fixated_35_3_house.png_face_Max	Percentage Fixated_35_3_house.png_face_Min	Percentage Fixated_35_3_house.png_face_Sum	Percentage Fixated_35_3_house.png_face_Median	Percentage Fixated_35_3_house.png_face_Stdev	Percentage Fixated_35_3_house.png_Rectangle 2_N	Percentage Fixated_35_3_house.png_Rectangle 2_Mean	Percentage Fixated_35_3_house.png_Rectangle 2_Max	Percentage Fixated_35_3_house.png_Rectangle 2_Min	Percentage Fixated_35_3_house.png_Rectangle 2_Sum	Percentage Fixated_35_3_house.png_Rectangle 2_Median	Percentage Fixated_35_3_house.png_Rectangle 2_Stdev	Percentage Fixated_35_3_house.png_Not on AOI_N	Percentage Fixated_35_3_house.png_Not on AOI_Mean	Percentage Fixated_35_3_house.png_Not on AOI_Max	Percentage Fixated_35_3_house.png_Not on AOI_Min	Percentage Fixated_35_3_house.png_Not on AOI_Sum	Percentage Fixated_35_3_house.png_Not on AOI_Median	Percentage Fixated_35_3_house.png_Not on AOI_Stdev	Percentage Fixated_37_10_boat.jpg_face_N	Percentage Fixated_37_10_boat.jpg_face_Mean	Percentage Fixated_37_10_boat.jpg_face_Max	Percentage Fixated_37_10_boat.jpg_face_Min	Percentage Fixated_37_10_boat.jpg_face_Sum	Percentage Fixated_37_10_boat.jpg_face_Median	Percentage Fixated_37_10_boat.jpg_face_Stdev	Percentage Fixated_37_10_boat.jpg_Rectangle 2_N	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Mean	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Max	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Min	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Sum	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Median	Percentage Fixated_37_10_boat.jpg_Rectangle 2_Stdev	Percentage Fixated_37_10_boat.jpg_Not on AOI_N	Percentage Fixated_37_10_boat.jpg_Not on AOI_Mean	Percentage Fixated_37_10_boat.jpg_Not on AOI_Max	Percentage Fixated_37_10_boat.jpg_Not on AOI_Min	Percentage Fixated_37_10_boat.jpg_Not on AOI_Sum	Percentage Fixated_37_10_boat.jpg_Not on AOI_Median	Percentage Fixated_37_10_boat.jpg_Not on AOI_Stdev	Percentage Fixated_39_2_car-inside.png_face_N	Percentage Fixated_39_2_car-inside.png_face_Mean	Percentage Fixated_39_2_car-inside.png_face_Max	Percentage Fixated_39_2_car-inside.png_face_Min	Percentage Fixated_39_2_car-inside.png_face_Sum	Percentage Fixated_39_2_car-inside.png_face_Median	Percentage Fixated_39_2_car-inside.png_face_Stdev	Percentage Fixated_39_2_car-inside.png_Rectangle 2_N	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Mean	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Max	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Min	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Sum	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Median	Percentage Fixated_39_2_car-inside.png_Rectangle 2_Stdev	Percentage Fixated_39_2_car-inside.png_Not on AOI_N	Percentage Fixated_39_2_car-inside.png_Not on AOI_Mean	Percentage Fixated_39_2_car-inside.png_Not on AOI_Max	Percentage Fixated_39_2_car-inside.png_Not on AOI_Min	Percentage Fixated_39_2_car-inside.png_Not on AOI_Sum	Percentage Fixated_39_2_car-inside.png_Not on AOI_Median	Percentage Fixated_39_2_car-inside.png_Not on AOI_Stdev	Percentage Fixated_54_6_bag.png_face_N	Percentage Fixated_54_6_bag.png_face_Mean	Percentage Fixated_54_6_bag.png_face_Max	Percentage Fixated_54_6_bag.png_face_Min	Percentage Fixated_54_6_bag.png_face_Sum	Percentage Fixated_54_6_bag.png_face_Median	Percentage Fixated_54_6_bag.png_face_Stdev	Percentage Fixated_54_6_bag.png_Rectangle 2_N	Percentage Fixated_54_6_bag.png_Rectangle 2_Mean	Percentage Fixated_54_6_bag.png_Rectangle 2_Max	Percentage Fixated_54_6_bag.png_Rectangle 2_Min	Percentage Fixated_54_6_bag.png_Rectangle 2_Sum	Percentage Fixated_54_6_bag.png_Rectangle 2_Median	Percentage Fixated_54_6_bag.png_Rectangle 2_Stdev	Percentage Fixated_54_6_bag.png_Not on AOI_N	Percentage Fixated_54_6_bag.png_Not on AOI_Mean	Percentage Fixated_54_6_bag.png_Not on AOI_Max	Percentage Fixated_54_6_bag.png_Not on AOI_Min	Percentage Fixated_54_6_bag.png_Not on AOI_Sum	Percentage Fixated_54_6_bag.png_Not on AOI_Median	Percentage Fixated_54_6_bag.png_Not on AOI_Stdev	Percentage Fixated_57_9_furniture.png_face_N	Percentage Fixated_57_9_furniture.png_face_Mean	Percentage Fixated_57_9_furniture.png_face_Max	Percentage Fixated_57_9_furniture.png_face_Min	Percentage Fixated_57_9_furniture.png_face_Sum	Percentage Fixated_57_9_furniture.png_face_Median	Percentage Fixated_57_9_furniture.png_face_Stdev	Percentage Fixated_57_9_furniture.png_Rectangle 2_N	Percentage Fixated_57_9_furniture.png_Rectangle 2_Mean	Percentage Fixated_57_9_furniture.png_Rectangle 2_Max	Percentage Fixated_57_9_furniture.png_Rectangle 2_Min	Percentage Fixated_57_9_furniture.png_Rectangle 2_Sum	Percentage Fixated_57_9_furniture.png_Rectangle 2_Median	Percentage Fixated_57_9_furniture.png_Rectangle 2_Stdev	Percentage Fixated_57_9_furniture.png_Rectangle 3_N	Percentage Fixated_57_9_furniture.png_Rectangle 3_Mean	Percentage Fixated_57_9_furniture.png_Rectangle 3_Max	Percentage Fixated_57_9_furniture.png_Rectangle 3_Min	Percentage Fixated_57_9_furniture.png_Rectangle 3_Sum	Percentage Fixated_57_9_furniture.png_Rectangle 3_Median	Percentage Fixated_57_9_furniture.png_Rectangle 3_Stdev	Percentage Fixated_57_9_furniture.png_Not on AOI_N	Percentage Fixated_57_9_furniture.png_Not on AOI_Mean	Percentage Fixated_57_9_furniture.png_Not on AOI_Max	Percentage Fixated_57_9_furniture.png_Not on AOI_Min	Percentage Fixated_57_9_furniture.png_Not on AOI_Sum	Percentage Fixated_57_9_furniture.png_Not on AOI_Median	Percentage Fixated_57_9_furniture.png_Not on AOI_Stdev
P001	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-
P002	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P003	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-
P004	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P005	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-
P006	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P007	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-
P008	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P009	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P010	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-	1	0%	0%	0%	0%	0%	-	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
