	Fixation Count (Include Zeros)_All Media_Face AOI Group_N	Fixation Count (Include Zeros)_All Media_Face AOI Group_Mean	Fixation Count (Include Zeros)_All Media_Face AOI Group_Max	Fixation Count (Include Zeros)_All Media_Face AOI Group_Min	Fixation Count (Include Zeros)_All Media_Face AOI Group_Sum	Fixation Count (Include Zeros)_All Media_Face AOI Group_Median	Fixation Count (Include Zeros)_All Media_Face AOI Group_Stdev	Fixation Count (Include Zeros)_All Media_Function AOI Group_N	Fixation Count (Include Zeros)_All Media_Function AOI Group_Mean	Fixation Count (Include Zeros)_All Media_Function AOI Group_Max	Fixation Count (Include Zeros)_All Media_Function AOI Group_Min	Fixation Count (Include Zeros)_All Media_Function AOI Group_Sum	Fixation Count (Include Zeros)_All Media_Function AOI Group_Median	Fixation Count (Include Zeros)_All Media_Function AOI Group_Stdev
P001	1	57,00	57,00	57,00	57,00	57,00	-	1	23,00	23,00	23,00	23,00	23,00	-
P002	1	80,00	80,00	80,00	80,00	80,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P003	1	49,00	49,00	49,00	49,00	49,00	-	1	20,00	20,00	20,00	20,00	20,00	-
P004	1	68,00	68,00	68,00	68,00	68,00	-	1	48,00	48,00	48,00	48,00	48,00	-
P005	1	27,00	27,00	27,00	27,00	27,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P006	1	24,00	24,00	24,00	24,00	24,00	-	1	18,00	18,00	18,00	18,00	18,00	-
P007	1	42,00	42,00	42,00	42,00	42,00	-	1	35,00	35,00	35,00	35,00	35,00	-
P008	1	15,00	15,00	15,00	15,00	15,00	-	1	9,00	9,00	9,00	9,00	9,00	-
P009	1	53,00	53,00	53,00	53,00	53,00	-	1	32,00	32,00	32,00	32,00	32,00	-
P010	1	64,00	64,00	64,00	64,00	64,00	-	1	42,00	42,00	42,00	42,00	42,00	-
P011	1	58,00	58,00	58,00	58,00	58,00	-	1	35,00	35,00	35,00	35,00	35,00	-
P012	1	56,00	56,00	56,00	56,00	56,00	-	1	47,00	47,00	47,00	47,00	47,00	-
P013	1	78,00	78,00	78,00	78,00	78,00	-	1	30,00	30,00	30,00	30,00	30,00	-
P014	1	57,00	57,00	57,00	57,00	57,00	-	1	35,00	35,00	35,00	35,00	35,00	-
P015	1	57,00	57,00	57,00	57,00	57,00	-	1	34,00	34,00	34,00	34,00	34,00	-
P016	1	76,00	76,00	76,00	76,00	76,00	-	1	38,00	38,00	38,00	38,00	38,00	-
P017	1	18,00	18,00	18,00	18,00	18,00	-	1	19,00	19,00	19,00	19,00	19,00	-
P018	1	60,00	60,00	60,00	60,00	60,00	-	1	37,00	37,00	37,00	37,00	37,00	-
P019	1	35,00	35,00	35,00	35,00	35,00	-	1	27,00	27,00	27,00	27,00	27,00	-
P020	1	50,00	50,00	50,00	50,00	50,00	-	1	25,00	25,00	25,00	25,00	25,00	-
P021	1	45,00	45,00	45,00	45,00	45,00	-	1	24,00	24,00	24,00	24,00	24,00	-
P022	1	80,00	80,00	80,00	80,00	80,00	-	1	22,00	22,00	22,00	22,00	22,00	-
P023	1	51,00	51,00	51,00	51,00	51,00	-	1	29,00	29,00	29,00	29,00	29,00	-
P024	1	67,00	67,00	67,00	67,00	67,00	-	1	20,00	20,00	20,00	20,00	20,00	-
P025	1	43,00	43,00	43,00	43,00	43,00	-	1	20,00	20,00	20,00	20,00	20,00	-
P026	1	50,00	50,00	50,00	50,00	50,00	-	1	27,00	27,00	27,00	27,00	27,00	-
P027	1	71,00	71,00	71,00	71,00	71,00	-	1	23,00	23,00	23,00	23,00	23,00	-
P028	1	46,00	46,00	46,00	46,00	46,00	-	1	23,00	23,00	23,00	23,00	23,00	-
P029	1	43,00	43,00	43,00	43,00	43,00	-	1	30,00	30,00	30,00	30,00	30,00	-
P030	1	65,00	65,00	65,00	65,00	65,00	-	1	24,00	24,00	24,00	24,00	24,00	-
All Recordings	30	52,83	80,00	15,00	1585,00	54,50	17,35	30	27,13	48,00	2,00	814,00	26,00	10,22
