	Fixation Duration_All Media_Face AOI Group_N	Fixation Duration_All Media_Face AOI Group_Mean	Fixation Duration_All Media_Face AOI Group_Max	Fixation Duration_All Media_Face AOI Group_Min	Fixation Duration_All Media_Face AOI Group_Sum	Fixation Duration_All Media_Face AOI Group_Median	Fixation Duration_All Media_Face AOI Group_Stdev	Fixation Duration_All Media_Function AOI Group_N	Fixation Duration_All Media_Function AOI Group_Mean	Fixation Duration_All Media_Function AOI Group_Max	Fixation Duration_All Media_Function AOI Group_Min	Fixation Duration_All Media_Function AOI Group_Sum	Fixation Duration_All Media_Function AOI Group_Median	Fixation Duration_All Media_Function AOI Group_Stdev
P001	57	0,35	1,22	0,06	20,19	0,28	0,21	23	0,29	0,57	0,07	6,67	0,27	0,11
P002	80	0,36	1,05	0,01	28,96	0,28	0,24	16	0,31	0,75	0,01	4,88	0,25	0,21
P003	49	0,41	1,22	0,01	19,86	0,37	0,27	20	0,25	1,14	0,01	4,98	0,20	0,27
P004	68	0,24	1,77	0,00	16,53	0,21	0,25	48	0,14	0,49	0,01	6,90	0,13	0,12
P005	27	0,18	1,02	0,01	4,88	0,02	0,26	2	0,43	0,69	0,17	0,87	0,43	0,37
P006	24	0,16	0,40	0,01	3,84	0,11	0,13	18	0,15	0,39	0,01	2,68	0,11	0,14
P007	42	0,38	1,77	0,05	16,01	0,30	0,32	35	0,39	1,25	0,05	13,48	0,30	0,26
P008	15	0,25	0,67	0,01	3,78	0,22	0,21	9	0,31	0,92	0,02	2,83	0,19	0,32
P009	53	0,42	1,57	0,01	22,15	0,33	0,33	32	0,28	0,77	0,09	8,97	0,27	0,13
P010	64	0,28	1,67	0,01	18,00	0,23	0,26	42	0,27	0,79	0,01	11,27	0,22	0,18
P011	58	0,44	1,77	0,02	25,30	0,35	0,33	35	0,30	0,88	0,02	10,55	0,25	0,19
P012	56	0,43	3,42	0,03	24,17	0,29	0,54	47	0,30	1,95	0,03	14,32	0,25	0,30
P013	78	0,43	3,06	0,07	33,29	0,32	0,41	30	0,24	0,56	0,07	7,17	0,22	0,13
P014	57	0,43	2,13	0,01	24,39	0,33	0,37	35	0,26	0,97	0,02	9,18	0,23	0,20
P015	57	0,40	1,33	0,00	22,57	0,37	0,23	34	0,29	0,67	0,04	9,92	0,24	0,16
P016	76	0,40	1,99	0,01	30,23	0,26	0,38	38	0,30	1,59	0,06	11,32	0,21	0,26
P017	18	0,21	0,72	0,01	3,81	0,20	0,17	19	0,25	0,58	0,01	4,72	0,20	0,17
P018	60	0,40	1,03	0,00	23,75	0,36	0,23	37	0,35	1,43	0,08	12,92	0,31	0,25
P019	35	0,54	3,86	0,09	18,92	0,33	0,74	27	0,24	0,65	0,01	6,53	0,21	0,14
P020	50	0,40	1,67	0,02	19,80	0,32	0,30	25	0,32	0,66	0,01	7,90	0,26	0,17
P021	45	0,47	1,89	0,02	21,22	0,40	0,38	24	0,43	0,95	0,06	10,42	0,40	0,20
P022	80	0,33	1,12	0,01	26,62	0,29	0,19	22	0,25	0,53	0,02	5,42	0,22	0,13
P023	51	0,35	1,52	0,01	17,74	0,30	0,27	29	0,38	2,26	0,10	11,13	0,30	0,38
P024	67	0,44	1,39	0,05	29,29	0,37	0,25	20	0,25	0,41	0,05	4,90	0,24	0,07
P025	43	0,54	1,95	0,14	23,19	0,46	0,30	20	0,50	1,23	0,17	10,07	0,39	0,31
P026	50	0,26	1,10	0,00	13,23	0,18	0,24	27	0,21	0,60	0,04	5,79	0,20	0,13
P027	71	0,35	1,35	0,05	24,75	0,27	0,27	23	0,29	0,87	0,07	6,77	0,25	0,21
P028	46	0,52	2,19	0,01	23,70	0,37	0,47	23	0,32	2,08	0,04	7,45	0,23	0,41
P029	43	0,54	2,46	0,03	23,12	0,30	0,52	30	0,33	0,81	0,02	10,02	0,26	0,21
P030	65	0,39	1,52	0,03	25,59	0,32	0,23	24	0,30	0,80	0,03	7,28	0,27	0,16
All Recordings	1585	0,38	3,86	0,00	608,89	0,30	0,34	814	0,29	2,26	0,01	237,32	0,24	0,23
