	Fixations Before_All Media_Face AOI Group_N	Fixations Before_All Media_Face AOI Group_Mean	Fixations Before_All Media_Face AOI Group_Max	Fixations Before_All Media_Face AOI Group_Min	Fixations Before_All Media_Face AOI Group_Sum	Fixations Before_All Media_Face AOI Group_Median	Fixations Before_All Media_Face AOI Group_Stdev	Fixations Before_All Media_Function AOI Group_N	Fixations Before_All Media_Function AOI Group_Mean	Fixations Before_All Media_Function AOI Group_Max	Fixations Before_All Media_Function AOI Group_Min	Fixations Before_All Media_Function AOI Group_Sum	Fixations Before_All Media_Function AOI Group_Median	Fixations Before_All Media_Function AOI Group_Stdev
P001	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P002	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P003	1	0,00	0,00	0,00	0,00	0,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P004	1	1,00	1,00	1,00	1,00	1,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P005	1	0,00	0,00	0,00	0,00	0,00	-	1	27,00	27,00	27,00	27,00	27,00	-
P006	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P007	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P008	1	0,00	0,00	0,00	0,00	0,00	-	1	4,00	4,00	4,00	4,00	4,00	-
P009	1	0,00	0,00	0,00	0,00	0,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P010	1	0,00	0,00	0,00	0,00	0,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P011	1	1,00	1,00	1,00	1,00	1,00	-	1	4,00	4,00	4,00	4,00	4,00	-
P012	1	2,00	2,00	2,00	2,00	2,00	-	1	7,00	7,00	7,00	7,00	7,00	-
P013	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P014	1	2,00	2,00	2,00	2,00	2,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P015	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P016	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P017	1	3,00	3,00	3,00	3,00	3,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P018	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P019	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P020	1	1,00	1,00	1,00	1,00	1,00	-	1	2,00	2,00	2,00	2,00	2,00	-
P021	1	2,00	2,00	2,00	2,00	2,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P022	1	2,00	2,00	2,00	2,00	2,00	-	1	8,00	8,00	8,00	8,00	8,00	-
P023	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P024	1	6,00	6,00	6,00	6,00	6,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P025	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P026	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P027	1	1,00	1,00	1,00	1,00	1,00	-	1	6,00	6,00	6,00	6,00	6,00	-
P028	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
P029	1	2,00	2,00	2,00	2,00	2,00	-	1	5,00	5,00	5,00	5,00	5,00	-
P030	1	1,00	1,00	1,00	1,00	1,00	-	1	3,00	3,00	3,00	3,00	3,00	-
All Recordings	30	1,30	6,00	0,00	39,00	1,00	1,18	30	4,10	27,00	1,00	123,00	3,00	5,25
