	Percentage Fixated_All Media_Face AOI Group_N	Percentage Fixated_All Media_Face AOI Group_Mean	Percentage Fixated_All Media_Face AOI Group_Max	Percentage Fixated_All Media_Face AOI Group_Min	Percentage Fixated_All Media_Face AOI Group_Sum	Percentage Fixated_All Media_Face AOI Group_Median	Percentage Fixated_All Media_Face AOI Group_Stdev	Percentage Fixated_All Media_Function AOI Group_N	Percentage Fixated_All Media_Function AOI Group_Mean	Percentage Fixated_All Media_Function AOI Group_Max	Percentage Fixated_All Media_Function AOI Group_Min	Percentage Fixated_All Media_Function AOI Group_Sum	Percentage Fixated_All Media_Function AOI Group_Median	Percentage Fixated_All Media_Function AOI Group_Stdev
P001	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P002	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P003	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P004	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P005	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P006	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P007	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P008	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P009	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P010	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P011	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P012	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P013	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P014	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P015	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P016	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P017	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P018	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P019	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P020	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P021	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P022	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P023	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P024	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P025	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P026	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P027	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P028	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P029	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
P030	1	100%	100%	100%	100%	100%	-	1	100%	100%	100%	100%	100%	-
All Recordings	30	100%	100%	100%	3000%	100%	0%	30	100%	100%	100%	3000%	100%	0%
