	Time to First Fixation (Across Media)_All Media_Face AOI Group_N	Time to First Fixation (Across Media)_All Media_Face AOI Group_Mean	Time to First Fixation (Across Media)_All Media_Face AOI Group_Max	Time to First Fixation (Across Media)_All Media_Face AOI Group_Min	Time to First Fixation (Across Media)_All Media_Face AOI Group_Sum	Time to First Fixation (Across Media)_All Media_Face AOI Group_Median	Time to First Fixation (Across Media)_All Media_Face AOI Group_Stdev	Time to First Fixation (Across Media)_All Media_Function AOI Group_N	Time to First Fixation (Across Media)_All Media_Function AOI Group_Mean	Time to First Fixation (Across Media)_All Media_Function AOI Group_Max	Time to First Fixation (Across Media)_All Media_Function AOI Group_Min	Time to First Fixation (Across Media)_All Media_Function AOI Group_Sum	Time to First Fixation (Across Media)_All Media_Function AOI Group_Median	Time to First Fixation (Across Media)_All Media_Function AOI Group_Stdev
P001	1	0,37	0,37	0,37	0,37	0,37	-	1	0,18	0,18	0,18	0,18	0,18	-
P002	1	0,71	0,71	0,71	0,71	0,71	-	1	0,51	0,51	0,51	0,51	0,51	-
P003	1	0,54	0,54	0,54	0,54	0,54	-	1	1,54	1,54	1,54	1,54	1,54	-
P004	1	0,14	0,14	0,14	0,14	0,14	-	1	19,44	19,44	19,44	19,44	19,44	-
P005	1	17,17	17,17	17,17	17,17	17,17	-	1	195,26	195,26	195,26	195,26	195,26	-
P006	1	0,92	0,92	0,92	0,92	0,92	-	1	1,06	1,06	1,06	1,06	1,06	-
P007	1	0,13	0,13	0,13	0,13	0,13	-	1	0,74	0,74	0,74	0,74	0,74	-
P008	1	0,50	0,50	0,50	0,50	0,50	-	1	2,69	2,69	2,69	2,69	2,69	-
P009	1	0,51	0,51	0,51	0,51	0,51	-	1	0,83	0,83	0,83	0,83	0,83	-
P010	1	0,57	0,57	0,57	0,57	0,57	-	1	1,32	1,32	1,32	1,32	1,32	-
P011	1	0,18	0,18	0,18	0,18	0,18	-	1	1,85	1,85	1,85	1,85	1,85	-
P012	1	0,40	0,40	0,40	0,40	0,40	-	1	3,75	3,75	3,75	3,75	3,75	-
P013	1	0,32	0,32	0,32	0,32	0,32	-	1	0,17	0,17	0,17	0,17	0,17	-
P014	1	0,49	0,49	0,49	0,49	0,49	-	1	1,87	1,87	1,87	1,87	1,87	-
P015	1	0,22	0,22	0,22	0,22	0,22	-	1	0,64	0,64	0,64	0,64	0,64	-
P016	1	0,18	0,18	0,18	0,18	0,18	-	1	1,25	1,25	1,25	1,25	1,25	-
P017	1	30,50	30,50	30,50	30,50	30,50	-	1	1,34	1,34	1,34	1,34	1,34	-
P018	1	0,24	0,24	0,24	0,24	0,24	-	1	0,64	0,64	0,64	0,64	0,64	-
P019	1	0,20	0,20	0,20	0,20	0,20	-	1	0,47	0,47	0,47	0,47	0,47	-
P020	1	0,18	0,18	0,18	0,18	0,18	-	1	1,07	1,07	1,07	1,07	1,07	-
P021	1	0,35	0,35	0,35	0,35	0,35	-	1	0,18	0,18	0,18	0,18	0,18	-
P022	1	0,34	0,34	0,34	0,34	0,34	-	1	2,46	2,46	2,46	2,46	2,46	-
P023	1	0,16	0,16	0,16	0,16	0,16	-	1	0,71	0,71	0,71	0,71	0,71	-
P024	1	1,45	1,45	1,45	1,45	1,45	-	1	0,20	0,20	0,20	0,20	0,20	-
P025	1	0,28	0,28	0,28	0,28	0,28	-	1	1,51	1,51	1,51	1,51	1,51	-
P026	1	0,34	0,34	0,34	0,34	0,34	-	1	1,97	1,97	1,97	1,97	1,97	-
P027	1	0,19	0,19	0,19	0,19	0,19	-	1	2,50	2,50	2,50	2,50	2,50	-
P028	1	0,18	0,18	0,18	0,18	0,18	-	1	1,54	1,54	1,54	1,54	1,54	-
P029	1	0,37	0,37	0,37	0,37	0,37	-	1	1,93	1,93	1,93	1,93	1,93	-
P030	1	0,17	0,17	0,17	0,17	0,17	-	1	0,72	0,72	0,72	0,72	0,72	-
All Recordings	30	1,94	30,50	0,13	58,33	0,34	6,21	30	8,34	195,26	0,17	250,31	1,28	35,47
