	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_N	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Mean	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Max	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Min	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Sum	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Median	Total Fixation Duration (Include Zeros)_All Media_Face AOI Group_Stdev	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_N	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Mean	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Max	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Min	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Sum	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Median	Total Fixation Duration (Include Zeros)_All Media_Function AOI Group_Stdev
P001	1	20,19	20,19	20,19	20,19	20,19	-	1	6,67	6,67	6,67	6,67	6,67	-
P002	1	28,96	28,96	28,96	28,96	28,96	-	1	4,88	4,88	4,88	4,88	4,88	-
P003	1	19,86	19,86	19,86	19,86	19,86	-	1	4,98	4,98	4,98	4,98	4,98	-
P004	1	16,53	16,53	16,53	16,53	16,53	-	1	6,90	6,90	6,90	6,90	6,90	-
P005	1	4,88	4,88	4,88	4,88	4,88	-	1	0,87	0,87	0,87	0,87	0,87	-
P006	1	3,84	3,84	3,84	3,84	3,84	-	1	2,68	2,68	2,68	2,68	2,68	-
P007	1	16,01	16,01	16,01	16,01	16,01	-	1	13,48	13,48	13,48	13,48	13,48	-
P008	1	3,78	3,78	3,78	3,78	3,78	-	1	2,83	2,83	2,83	2,83	2,83	-
P009	1	22,15	22,15	22,15	22,15	22,15	-	1	8,97	8,97	8,97	8,97	8,97	-
P010	1	18,00	18,00	18,00	18,00	18,00	-	1	11,27	11,27	11,27	11,27	11,27	-
P011	1	25,30	25,30	25,30	25,30	25,30	-	1	10,55	10,55	10,55	10,55	10,55	-
P012	1	24,17	24,17	24,17	24,17	24,17	-	1	14,32	14,32	14,32	14,32	14,32	-
P013	1	33,29	33,29	33,29	33,29	33,29	-	1	7,17	7,17	7,17	7,17	7,17	-
P014	1	24,39	24,39	24,39	24,39	24,39	-	1	9,18	9,18	9,18	9,18	9,18	-
P015	1	22,57	22,57	22,57	22,57	22,57	-	1	9,92	9,92	9,92	9,92	9,92	-
P016	1	30,23	30,23	30,23	30,23	30,23	-	1	11,32	11,32	11,32	11,32	11,32	-
P017	1	3,81	3,81	3,81	3,81	3,81	-	1	4,72	4,72	4,72	4,72	4,72	-
P018	1	23,75	23,75	23,75	23,75	23,75	-	1	12,92	12,92	12,92	12,92	12,92	-
P019	1	18,92	18,92	18,92	18,92	18,92	-	1	6,53	6,53	6,53	6,53	6,53	-
P020	1	19,80	19,80	19,80	19,80	19,80	-	1	7,90	7,90	7,90	7,90	7,90	-
P021	1	21,22	21,22	21,22	21,22	21,22	-	1	10,42	10,42	10,42	10,42	10,42	-
P022	1	26,62	26,62	26,62	26,62	26,62	-	1	5,42	5,42	5,42	5,42	5,42	-
P023	1	17,74	17,74	17,74	17,74	17,74	-	1	11,13	11,13	11,13	11,13	11,13	-
P024	1	29,29	29,29	29,29	29,29	29,29	-	1	4,90	4,90	4,90	4,90	4,90	-
P025	1	23,19	23,19	23,19	23,19	23,19	-	1	10,07	10,07	10,07	10,07	10,07	-
P026	1	13,23	13,23	13,23	13,23	13,23	-	1	5,79	5,79	5,79	5,79	5,79	-
P027	1	24,75	24,75	24,75	24,75	24,75	-	1	6,77	6,77	6,77	6,77	6,77	-
P028	1	23,70	23,70	23,70	23,70	23,70	-	1	7,45	7,45	7,45	7,45	7,45	-
P029	1	23,12	23,12	23,12	23,12	23,12	-	1	10,02	10,02	10,02	10,02	10,02	-
P030	1	25,59	25,59	25,59	25,59	25,59	-	1	7,28	7,28	7,28	7,28	7,28	-
All Recordings	30	20,30	33,29	3,78	608,89	22,36	7,81	30	7,91	14,32	0,87	237,32	7,37	3,31
