	Visit Count (Include Zeros)_All Media_Face AOI Group_N	Visit Count (Include Zeros)_All Media_Face AOI Group_Mean	Visit Count (Include Zeros)_All Media_Face AOI Group_Max	Visit Count (Include Zeros)_All Media_Face AOI Group_Min	Visit Count (Include Zeros)_All Media_Face AOI Group_Sum	Visit Count (Include Zeros)_All Media_Face AOI Group_Median	Visit Count (Include Zeros)_All Media_Face AOI Group_Stdev	Visit Count (Include Zeros)_All Media_Function AOI Group_N	Visit Count (Include Zeros)_All Media_Function AOI Group_Mean	Visit Count (Include Zeros)_All Media_Function AOI Group_Max	Visit Count (Include Zeros)_All Media_Function AOI Group_Min	Visit Count (Include Zeros)_All Media_Function AOI Group_Sum	Visit Count (Include Zeros)_All Media_Function AOI Group_Median	Visit Count (Include Zeros)_All Media_Function AOI Group_Stdev
P001	1	26,00	26,00	26,00	26,00	26,00	-	1	21,00	21,00	21,00	21,00	21,00	-
P002	1	18,00	18,00	18,00	18,00	18,00	-	1	10,00	10,00	10,00	10,00	10,00	-
P003	1	17,00	17,00	17,00	17,00	17,00	-	1	11,00	11,00	11,00	11,00	11,00	-
P004	1	21,00	21,00	21,00	21,00	21,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P005	1	10,00	10,00	10,00	10,00	10,00	-	1	1,00	1,00	1,00	1,00	1,00	-
P006	1	14,00	14,00	14,00	14,00	14,00	-	1	9,00	9,00	9,00	9,00	9,00	-
P007	1	20,00	20,00	20,00	20,00	20,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P008	1	7,00	7,00	7,00	7,00	7,00	-	1	7,00	7,00	7,00	7,00	7,00	-
P009	1	17,00	17,00	17,00	17,00	17,00	-	1	15,00	15,00	15,00	15,00	15,00	-
P010	1	23,00	23,00	23,00	23,00	23,00	-	1	25,00	25,00	25,00	25,00	25,00	-
P011	1	22,00	22,00	22,00	22,00	22,00	-	1	25,00	25,00	25,00	25,00	25,00	-
P012	1	20,00	20,00	20,00	20,00	20,00	-	1	22,00	22,00	22,00	22,00	22,00	-
P013	1	20,00	20,00	20,00	20,00	20,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P014	1	21,00	21,00	21,00	21,00	21,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P015	1	21,00	21,00	21,00	21,00	21,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P016	1	21,00	21,00	21,00	21,00	21,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P017	1	10,00	10,00	10,00	10,00	10,00	-	1	9,00	9,00	9,00	9,00	9,00	-
P018	1	21,00	21,00	21,00	21,00	21,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P019	1	18,00	18,00	18,00	18,00	18,00	-	1	15,00	15,00	15,00	15,00	15,00	-
P020	1	24,00	24,00	24,00	24,00	24,00	-	1	15,00	15,00	15,00	15,00	15,00	-
P021	1	21,00	21,00	21,00	21,00	21,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P022	1	19,00	19,00	19,00	19,00	19,00	-	1	13,00	13,00	13,00	13,00	13,00	-
P023	1	20,00	20,00	20,00	20,00	20,00	-	1	14,00	14,00	14,00	14,00	14,00	-
P024	1	20,00	20,00	20,00	20,00	20,00	-	1	9,00	9,00	9,00	9,00	9,00	-
P025	1	17,00	17,00	17,00	17,00	17,00	-	1	13,00	13,00	13,00	13,00	13,00	-
P026	1	22,00	22,00	22,00	22,00	22,00	-	1	16,00	16,00	16,00	16,00	16,00	-
P027	1	21,00	21,00	21,00	21,00	21,00	-	1	13,00	13,00	13,00	13,00	13,00	-
P028	1	17,00	17,00	17,00	17,00	17,00	-	1	13,00	13,00	13,00	13,00	13,00	-
P029	1	19,00	19,00	19,00	19,00	19,00	-	1	17,00	17,00	17,00	17,00	17,00	-
P030	1	17,00	17,00	17,00	17,00	17,00	-	1	14,00	14,00	14,00	14,00	14,00	-
All Recordings	30	18,80	26,00	7,00	564,00	20,00	4,12	30	14,67	25,00	1,00	440,00	15,00	5,04
