	Visit Duration_All Media_Face AOI Group_N	Visit Duration_All Media_Face AOI Group_Mean	Visit Duration_All Media_Face AOI Group_Max	Visit Duration_All Media_Face AOI Group_Min	Visit Duration_All Media_Face AOI Group_Sum	Visit Duration_All Media_Face AOI Group_Median	Visit Duration_All Media_Face AOI Group_Stdev	Visit Duration_All Media_Function AOI Group_N	Visit Duration_All Media_Function AOI Group_Mean	Visit Duration_All Media_Function AOI Group_Max	Visit Duration_All Media_Function AOI Group_Min	Visit Duration_All Media_Function AOI Group_Sum	Visit Duration_All Media_Function AOI Group_Median	Visit Duration_All Media_Function AOI Group_Stdev
P001	26	0,78	2,90	0,17	20,19	0,64	0,61	21	0,32	0,61	0,07	6,67	0,27	0,14
P002	18	1,66	3,77	0,26	29,81	1,43	1,15	10	0,49	1,32	0,01	4,88	0,36	0,41
P003	17	1,40	3,41	0,23	23,83	1,02	0,98	11	0,49	2,57	0,01	5,36	0,28	0,76
P004	21	0,98	4,01	0,03	20,65	0,29	1,31	16	0,82	2,50	0,01	13,20	0,59	0,73
P005	10	0,97	2,83	0,01	9,71	0,67	1,03	1	1,03	1,03	1,03	1,03	1,03	-
P006	14	0,40	1,05	0,02	5,57	0,37	0,29	9	0,39	1,73	0,02	3,52	0,20	0,54
P007	20	0,81	3,04	0,07	16,29	0,54	0,81	17	0,82	3,25	0,07	13,98	0,53	0,80
P008	7	0,89	1,67	0,22	6,23	0,76	0,58	7	0,42	1,13	0,02	2,95	0,19	0,48
P009	17	1,44	3,85	0,06	24,50	0,93	1,28	15	0,62	1,35	0,13	9,29	0,56	0,39
P010	23	0,88	2,51	0,06	20,29	0,59	0,72	25	0,49	1,16	0,04	12,16	0,34	0,41
P011	22	1,24	3,79	0,28	27,21	1,05	0,95	25	0,42	1,24	0,02	10,55	0,37	0,29
P012	20	1,24	4,02	0,05	24,86	0,74	1,20	22	0,65	2,68	0,04	14,32	0,52	0,70
P013	20	1,68	3,85	0,21	33,50	1,46	1,27	16	0,45	1,56	0,13	7,17	0,29	0,38
P014	21	1,22	3,71	0,02	25,69	1,16	0,96	17	0,57	1,29	0,03	9,63	0,47	0,46
P015	21	1,10	2,97	0,10	23,03	1,07	0,82	17	0,60	1,93	0,04	10,15	0,34	0,56
P016	21	1,45	3,99	0,17	30,53	1,14	1,01	17	0,67	1,59	0,10	11,32	0,61	0,44
P017	10	0,63	2,79	0,01	6,26	0,42	0,81	9	0,61	2,79	0,01	5,46	0,27	0,89
P018	21	1,21	3,83	0,00	25,51	0,88	1,08	17	0,79	2,31	0,20	13,43	0,60	0,57
P019	18	1,11	3,86	0,17	20,01	0,79	1,09	15	0,46	1,37	0,06	6,93	0,41	0,33
P020	24	0,82	2,06	0,19	19,80	0,65	0,51	15	0,53	1,23	0,01	7,90	0,52	0,37
P021	21	1,02	3,85	0,02	21,52	0,49	0,99	16	0,65	1,78	0,17	10,42	0,50	0,45
P022	19	1,51	3,93	0,01	28,63	1,20	1,24	13	0,44	1,37	0,08	5,67	0,41	0,33
P023	20	0,93	3,86	0,22	18,60	0,62	0,90	14	0,79	2,26	0,18	11,13	0,66	0,59
P024	20	1,54	3,82	0,16	30,73	1,37	1,12	9	0,54	1,25	0,20	4,90	0,43	0,37
P025	17	1,37	3,75	0,32	23,30	1,22	1,00	13	0,77	2,05	0,24	10,07	0,70	0,52
P026	22	0,76	1,96	0,08	16,73	0,80	0,55	16	0,39	1,14	0,05	6,16	0,24	0,32
P027	21	1,18	3,06	0,08	24,75	0,95	0,96	13	0,52	0,87	0,08	6,77	0,56	0,28
P028	17	1,47	3,84	0,22	24,95	1,05	1,11	13	0,62	3,55	0,04	8,10	0,23	0,97
P029	19	1,24	4,02	0,03	23,49	0,86	1,16	17	0,60	3,47	0,07	10,17	0,36	0,81
P030	17	1,52	3,88	0,22	25,83	1,16	1,17	14	0,52	1,66	0,03	7,28	0,40	0,42
All Recordings	564	1,16	4,02	0,00	652,00	0,88	1,01	440	0,57	3,55	0,01	250,57	0,40	0,53
