	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_N	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Mean	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Max	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Min	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Sum	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Median	Total Visit Duration (Include Zeros)_All Media_Face AOI Group_Stdev	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_N	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Mean	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Max	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Min	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Sum	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Median	Total Visit Duration (Include Zeros)_All Media_Function AOI Group_Stdev
P001	1	20,19	20,19	20,19	20,19	20,19	-	1	6,67	6,67	6,67	6,67	6,67	-
P002	1	29,81	29,81	29,81	29,81	29,81	-	1	4,88	4,88	4,88	4,88	4,88	-
P003	1	23,83	23,83	23,83	23,83	23,83	-	1	5,36	5,36	5,36	5,36	5,36	-
P004	1	20,65	20,65	20,65	20,65	20,65	-	1	13,20	13,20	13,20	13,20	13,20	-
P005	1	9,71	9,71	9,71	9,71	9,71	-	1	1,03	1,03	1,03	1,03	1,03	-
P006	1	5,57	5,57	5,57	5,57	5,57	-	1	3,52	3,52	3,52	3,52	3,52	-
P007	1	16,29	16,29	16,29	16,29	16,29	-	1	13,98	13,98	13,98	13,98	13,98	-
P008	1	6,23	6,23	6,23	6,23	6,23	-	1	2,95	2,95	2,95	2,95	2,95	-
P009	1	24,50	24,50	24,50	24,50	24,50	-	1	9,29	9,29	9,29	9,29	9,29	-
P010	1	20,29	20,29	20,29	20,29	20,29	-	1	12,16	12,16	12,16	12,16	12,16	-
P011	1	27,21	27,21	27,21	27,21	27,21	-	1	10,55	10,55	10,55	10,55	10,55	-
P012	1	24,86	24,86	24,86	24,86	24,86	-	1	14,32	14,32	14,32	14,32	14,32	-
P013	1	33,50	33,50	33,50	33,50	33,50	-	1	7,17	7,17	7,17	7,17	7,17	-
P014	1	25,69	25,69	25,69	25,69	25,69	-	1	9,63	9,63	9,63	9,63	9,63	-
P015	1	23,03	23,03	23,03	23,03	23,03	-	1	10,15	10,15	10,15	10,15	10,15	-
P016	1	30,53	30,53	30,53	30,53	30,53	-	1	11,32	11,32	11,32	11,32	11,32	-
P017	1	6,26	6,26	6,26	6,26	6,26	-	1	5,46	5,46	5,46	5,46	5,46	-
P018	1	25,51	25,51	25,51	25,51	25,51	-	1	13,43	13,43	13,43	13,43	13,43	-
P019	1	20,01	20,01	20,01	20,01	20,01	-	1	6,93	6,93	6,93	6,93	6,93	-
P020	1	19,80	19,80	19,80	19,80	19,80	-	1	7,90	7,90	7,90	7,90	7,90	-
P021	1	21,52	21,52	21,52	21,52	21,52	-	1	10,42	10,42	10,42	10,42	10,42	-
P022	1	28,63	28,63	28,63	28,63	28,63	-	1	5,67	5,67	5,67	5,67	5,67	-
P023	1	18,60	18,60	18,60	18,60	18,60	-	1	11,13	11,13	11,13	11,13	11,13	-
P024	1	30,73	30,73	30,73	30,73	30,73	-	1	4,90	4,90	4,90	4,90	4,90	-
P025	1	23,30	23,30	23,30	23,30	23,30	-	1	10,07	10,07	10,07	10,07	10,07	-
P026	1	16,73	16,73	16,73	16,73	16,73	-	1	6,16	6,16	6,16	6,16	6,16	-
P027	1	24,75	24,75	24,75	24,75	24,75	-	1	6,77	6,77	6,77	6,77	6,77	-
P028	1	24,95	24,95	24,95	24,95	24,95	-	1	8,10	8,10	8,10	8,10	8,10	-
P029	1	23,49	23,49	23,49	23,49	23,49	-	1	10,17	10,17	10,17	10,17	10,17	-
P030	1	25,83	25,83	25,83	25,83	25,83	-	1	7,28	7,28	7,28	7,28	7,28	-
All Recordings	30	21,73	33,50	5,57	652,00	23,40	7,18	30	8,35	14,32	1,03	250,57	8,00	3,42
